주소,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건_사고 분류1,사건_사고 분류2,사건_사고 분류3,개체명(인물),개체명(지역),개체명(기업기관),키워드,특성추출,본문,원본주소,,,,,,,,
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=01101101.20161228050743002,2016-12-28,한국일보,,"소라넷 사라진 자리, 메뚜기형 음란사이트가 차지",IT_과학>인터넷_SNS,IT_과학>콘텐츠,IT_과학>보안,범죄>성범죄>음란물,범죄>범죄일반>살인,,이웅혁,"하예나, 대부분","방통심의위, 서울, 포겟미코리아, 방송통신심의위원회, 경찰서, 소라넷, 건국대, 트위터","소라넷,자리,메뚜기,음란,사이트,차지,정기적,단속,피해,정기,주소,수정,끝자리,숫자,현금,가상,화폐,이용,10월,영상,불법,카메라,추적,디지털성,범죄아웃,DSO,대표,하예나,20ㆍ활동명,요즘,동영상,유출,고민,피해자들,상담,전화,연인,동의,유포,리벤지포르노,보복성,사생활,촬영물,각종,온라인,사이트,사회관계망서비스,SNS,상대방,보복,신고,신고,광범위,영상,지푸라기,심정,DSO,도움,하씨,12명,활동가,음란물,사이트,모니터링,이름,사이트,적발,폐쇄,해외공조,경찰,수사,4월,가까이,법망,음란물사이트,최대,음란물,사이트,소라넷,검거,소라넷,운영진,실패,경찰,단속,지속,인터넷주소,음란물,양산,변종,소라넷,활개,소라넷,폐쇄,불법,음란,사이트,형태,진화,수사망,온라인주소,정기적,운영,메뚜기,사이트,대표적,A사이트,3주,번씩,영문,주소,숫자,트위터,계정,주소,공지,회원들,실시간,확인,방문자,음란물,접근,등급,회원제,단속,사이트,사이트,동영상,대회,하루,방문자,30만,B사이트,회원들,자체,제작,사진,영상물,추천,게시물,상금,제공,콘테스트,진행,현금,수사당국,꼬리,온라인,가상,화폐,비트코인,상금,전달,특징,SNS,채널,음란물,유통,변질,포털,야후,SNS,텀블러,각종,동영상,공유,이메일,주소,비밀번호,설정,가입,가능,인증,절차,익명,덕분,전파,속도,텀블러,가입,화면,사진,여성,나체,당황,상대,동의,동영상,귀띔,불법,영상,무분별,피해,규모,눈덩이,방송통신심의위원회,이달,실행,개인,성행위,영상,삭제,요구,접속,차단,7,325건,사정,단속,유출,피해자,신고,사이트,대다수,불법,SNS,서버,해외,수사,협조,서울,관계자,경찰서,사이버,수사,노출,수위,며칠,주시,며칠,사이트,생성,일쑤,방통,심의,위원회,관계자,시정요구,추가,모니터링,방지,피해,확산,노력,우후죽순,관리,당국,감시,사각지대,피해자들,업체,민간,온라인,기록,삭제,의존,형편,영상,삭제,비용,최소,최대,스트레스,피해자들,금액,관계자,동영상,삭제,전문,포겟미,코리아,성행위,동영상,고객,의뢰,건수,급증,30%,가량,설명,이웅혁,건국대,경찰학,교수,운영자들,음란물,사이트,운영자,단속,방법,경찰,수사,인격,살인,동영상,유통,근절,한계,신고자,포상금,지급,사회,전반,감시망,강화,보완책","음란물,온라인,관계자,소라넷,피해자들,sns,텀블러,회원들,방문자,경찰서,피해자,성행위,번씩,3주,눈덩이,하씨",단속 피해 정기적으로 주소 수정 끝자리 숫자만 살짝 바꾸는 식 현금 대신 가상화폐 이용하기도 지난해 10월부터 불법 몰래카메라 영상을 추적하는 ‘디지털성범죄아웃(DSO)’ 대표 하예나(20ㆍ활동명)씨는 요즘 은밀한 동영상이 유출돼 고민하는 피해자들의 상담 전화를 자주 받는다. 대부분 헤어진 연인이 동의 없이 유포한 ‘리벤지포르노(보복성 사생활 촬영물)’를 ..,http://hankookilbo.com/v/ff21bbcd54514e55b81c092a0eb526d5,,,,,,,,
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=08200101.20170304205145002,2017-03-04,OBS,오민나,"심상정 데이트 폭력·스토킹·디지털 성범죄 근절""""",사회>사회일반,,,,,,"심, 심상정",,"특례법, 정의당, 세종문화회관","폭력,심상정,데이트,스토킹,디지털,성범죄,근절,정의당,대선후보,심상정,상임대표,3대,신종,여성,폭력,데이트폭력,스토킹,디지털성,범죄,근절,대표,8일,여성,세종문화회관,기념식,참석,자리,클레어법,가정,폭력전과,공개,제도,일명,클레어,교제,상대방,폭력,전과,경찰,문의,제안,스토킹,범죄,처벌,특례법,제정,피해,방지,피해자,보호,강화,공약","심상정,클레어법,세종문화회관,3대,피해자,폭력전과,기념식,클레어,특례법,정의당,대선후보,상임대표,성범죄,디지털성,데이트폭력,폭력,스토킹,일명,근절,여성,처벌,디지털,범죄,데이트,강화,보호,방지,피해,문의,공개,제정,제안,참석,경찰","정의당 대선후보, 심상정 상임대표가 3대 신종 여성 폭력인 데이트폭력과 스토킹"," 디지털성범죄를 근절하겠다""고 밝혔습니다.  심 대표는 오는 8일 '여성의 날'을 앞두고 세종문화회관 앞에서 열린 기념식에 참석한 자리에서 가정폭력전과공개제도 일명 '클레어법'을 도입해"," 교제 상대방의 폭력 전과를 경찰에 문의할 수 있도록 하겠다고 제안했습니다.  또 '스토..""",http://www.obsnews.co.kr/news/articleView.html?idxno=1032009,,,,,,
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=02100101.20170304213243001,2017-03-04,매일경제,디지털뉴스국,"“데이트 폭력 막겠다” 심상정, 일명 ‘클레어법’ 도입 공약",사회>여성,,,,,,"심, 심상정",,"특례법, 정의당, 세종문화회관, 클레어, 경찰, 방송통신심의위원회, 경찰청, 여성가족부","데이트,폭력,심상정,일명,클레어법,공약,정의당,대선,후보,심상정,상임대표,8일,여성,4일,세종문화회관,여성,폭력,방지,기본법,제정,포함,정책,여성,폭력,근절,대표,데이트폭력,스토킹,디지털성범죄,3대,여성,폭력,근절,여성,안전,나라,재범률,데이트,폭력,방지,가정폭력전과공개제도,일명,클레어법,교제,상대방,폭력,전과,경찰,문의,제안,대표,경범죄처벌법,처벌,형량,감안,스토킹,범죄,처벌,특례법,제정,피해,방지,피해자,보호,강화,스마트폰,촬영,성행위,영상물,대응,디지털,성범죄,경찰청,소관,업무,디지털,성폭력,명시적,규정,경찰,방송통신심의위원회,여성가족부,기관,망라,불법,영상물,감시,체계,마련,방안,성폭력방지법,가정폭력방지법,성매매방지법,3개,피해자보호법,포괄,여성폭력,범위,데이트폭력,스토킹폭력,디지털폭력,확장,여성폭력방지기본법,제정","데이트폭력,방지법,여성폭력,영상물,피해자,심상정,성폭력,성범죄,여성폭력방지기본법,정의당,클레어법,성행위,3개,3대,여성가족부,스마트폰,재범률,경범죄,방송통신심의위원회,성폭력방지법,명시적,폭력전과,경범죄처벌법,처벌법,경찰청,보호법,상임대표,피해자보호법,성매매,성매매방지법,세종문화회관","정의당 대선후보인 심상정 상임대표는 오는 8일 ‘여성의 날’을 앞두고 4일 세종문화회관에서 여성폭력방지기본법 제정 등을 포함한 여성폭력 근절 정책을 발표했다. 심 대표는 “데이트폭력과 스토킹, 디지털성범죄 등 3대 여성폭력을 근절해 여성이 안전한 나라를 만들겠다”며 “재범률이 높은 데이트폭력 방지를 위해 가정폭력전과공개제도(일명 클레어법)을 도입, 교제 ..",http://news.mk.co.kr/newsRead.php?&year=2017&no=150148,,,,,,,,
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=01100301.20170304205631003,2017-03-04,내일신문,김아영,[광장을 메운 여성들의 함성] “모든 ‘포괄적’ 차별을 금지하라”,사회>여성,국제>미국_북미,,사회>사회갈등>시위,,,"이, 심상정","보신각, 광화문, 광화문광장, 광화문 광장, 서울","정의당, 미국, 노동조합, 여성단체, 세종문화회관, 광화문광장, 한국성폭력상담소, 한국여성단체연합","포괄적,차별,한국여성단체연합,일대,4일,광화문,광장,3.8,세계,여성,의날,기념,페미니스트,행사,사진,김아영,4일,광화문광장,여성들,함성,페미니즘,너머,인간들,동등,권리,목소리,한국여성단체연합,1시,인근,종로,보신각,광화문광장,등지,기념,세계,여성,의날,페미니스트,광장,행사,행사,슬로건,페미니스트,민주주의,활동가,전국,여성단체,1000여명,참가,낙태죄,폐지,해소,성별,임금격차,차별,금지법,제정,여성,대표,확대,요구,4일,정의당,서울,세종문화회관,세계,여성,의날,기념,합창,여성정책,사진,김아영,이미경,한국성폭력상담,소장,일상적,정치,사회,일상,차별,포괄,차별,금지법,제정,상식적,얘기,성별,가족형태,정체성,나이,언어,출신,국가,용모,혼인,여부,가족,형태,차별,약속,소장,2007년,제정,추진,단체들,반대,성적지향,병력,결국,의미,무산,정치권,법안,발의,유권자들,반대,철회,제정,금지법,포괄,차별,제정,상식적,법안,나중,차별,거대,이득,소수자,집단,일상생활,배제,사회,소수자들,차별,혐오,약속,포괄,차별,금지법,제정,광장,4일,광화문,세계여성평화행동,사드반대,전쟁반대,사진,김아영,시민단체,정치권,목소리,4일,정의당,서울,세종문화회관,합창,세계,여성,의날,기념,여성정책,심상정,의원,참석,남성,여성,취지,노래,신발,사회적,디지털성,3대,여성,폭력,데이트,폭력,스토킹,디지털,범죄,대책,인권교육,제도화,여성,소수자,혐오,차별,범죄,안전,사회,정책,세계,여성,의날,미국,1만,여성,섬유,노동자,쟁취,정치,평등권,노동조합,결성,임금인상,요구,시위,기념,제정,여성들,국제적,연대,운동,각국,여성들,지위향상,남녀,차별,철폐,여성,빈곤,타파,여성운동","여성들,소수자,김아영,광화문,3대,평등권,광화문광장,세종문화회관,의날,한국여성단체연합,금지법,여성단체,정체성,이미경,종로,보신각,미국,서울,정치권,임금격차,시민단체,1만","한국여성단체연합은 4일 광화문 일대에서 '3.8 세계여성의날 기념 페미니스트 광장' 행사를 가졌다. 사진 김아영 기자    4일 광화문광장이 여성들의 함성으로 가득 찼다. 페미니즘을 너머 ‘모든 인..(데이트폭력 스토킹 디지털성범죄)에 관한 대책과 인권교육의 제도화 등 여성과 소수자가 혐오와 차별, 범죄로부터 안전한 사회를 만들기 위한 정책을 발표했다.",http://www.naeil.com/news_view/?id_art=229549,,,,,,,,
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=01100101.20170307163637001,2017-03-07,경향신문,최민지 기자 ming@kyunghyang.com,"데이트폭력 피해자 법률지원, '안심이' 앱 등…서울시, '여성안심특별시3.0 '발표",사회>여성,,,,,,엄규숙,"성동, 은평, 서울, 서울시, 서대문","시스템, 서울시","법률지원,데이트,폭력,피해자,법률,지원,안심이,서울시,여성안심특별시3.0,서울시,피해자,데이트,폭력,무료,법률,의료지원,시범,위험상황,신고,실행,SOS,호출,가능,안심이,4개,자치구,운영,시작,서울시,여성,하루,7일,2기,여성,안전,대책,여성,안심,특별시,3.0,서울시,지자체,민간단체,연계,데이트,폭력,피해자,무료법률,의료지원,시범,토대,2018년,전문지원기관,설치,계획,데이트폭력,실태조사,대책,장기,예방,지원,방안,마련,계획,여성,안심인프라,확대,방안,마련,스마트기술,CCTV,자치구,통합,관제,센터,안심망,연결,안심이,스마트,여성,안심망,App,4월,서비스,시작,위험감지시,실행,구조요청,통합관제센터,실시간,모니터링,위급,판단,경찰,현장,출동,4개,자치구,동작,성동,서대문,은평,가동,자치구,연내,내년,25개,자치구,확대,계획,대책,여성,안심,물리적,조성,사회,전반,성평등,가치,전파,여성혐오,문화,해소,주안점,특징,어린이집,아동,중학생,3만,대상,성인지,감수성,교육,조기,눈높이,시작,연내,국제기준,서울,성평등,교육,교재,교육,현장활동가,90명,확대,양성,방침,시청,부서,젠더담당자,정책,결정,평등,관점,반영,여성가족정책실장,엄규숙,서울시,여성,가족,정책,실장,그동안,여성안심택배,안심귀가스카우트,여성안심,조성,여성,혐오문화,데이트폭력,디지털성범죄,차단,생활,여성안전,생활,여성,안전,강화,계획,설명","데이트폭력,자치구,서울시,안심이,피해자,성평등,안심망,2기,감수성,3만,통합관제센터,엄규숙,눈높이,4개,법률지원,중학생,어린이집,민간단체","서울시가 데이트 폭력 피해자를 위한 무료 법률·의료지원을 시범 실시한다. 위험상황에서 112 신고 없이 앱 실행만으로 SOS 호출이 가능한 ‘안심이’ 앱도 4개 자치구에서 운영을 시작한다. 서울시는 여성의 날을 하루 앞둔 7일 이같은 내용의 2기 여성안..(여성)혐오문화와 데이트폭력, 디지털성범죄 등을 차단해 생활 속 여성안전을 강화할 계획”이라고 설명했다. ",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201703071635001&code=620101,,,,,,,,
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=01100701.20170307233210001,2017-03-07,세계일보,김유나,서울 ‘여성 안심 특별시’로 거듭 난다,사회>여성,사회>장애인,사회>교육_시험,범죄>범죄일반>살인,,,엄규숙,"서울, 강남역","서울시, 경찰, 시스템","서울,여성,안심,특별시,서울시,여성혐오,데이트폭력,디지털성범죄,여성안심특별시,지자체,데이트,폭력,피해자,법률,의료,사업,연계,지원,추진,아동,청소년,대상,성평등,조기,교육,서울시,세계여성의날,8일,대책,여성,안심,특별시,3.0,7일,일상생활,교육,현장,일터,조직문화,성평등,가치,여성안심도시,실현,계획,서울시,2013년,여성안심특별시,이름,여성안심택배,안심귀가스카우트,여성,안전,환경,조성,살인사건,강남역,인근,화장실,여성,살인,사건,계기,여성혐오,공론화,개선,물리,환경,사회전반,성평등,가치,확산,여성,안전,도달,혐오문화,데이트폭력,디지털성,범죄,차단,생활,여성안전,생활,여성,안전,강화,계획,성평등,세상,슬로건,어린이집,아동,중학생,3만,대상,교육,성평등,감수성,향상,조기,시작,인성,형성,성평등,가치,자연,교육교재,서울,성평등,교육,교재,40명,성평등,교육,현장,활동가,90명,계획,아이들,영향,교사,학부모,교육,진행,데이트폭력,디지털성,범죄,추방,지자체,피해자,무료,법률,의료지원,시범,피해자용,경찰,매뉴얼,지원자,대응,제작,상담,활용,상담,방침,오리엔테이션,대학교,신입생,예방교육,서울시,일터,성평등,조직문화,선도적,인식,부서,젠더담당자,지정,운영,수립,젠더자문관,정책,계획,수립,젠더,자문관,협조,의무화,산하,위원회,비율,여성,위원,40%,계획,위원회,66%,88개,여성,위원,비율,40%,서울시,공사장,가림막,그림,여성혐오,논란,만큼,공공,홍보물,여성혐오,성차별적,서울시홍,보물,모니터링단,운영,예정,여성안심인프라,확대,안심이,4월,스마트,여성,안심망,애플리케이션,4개,자치구,가동,위험,감지,여성,구조,요청,통합관제센터,폐쇄회로,CC,TV,모니터링,경찰,출동,자치구,내년,25개,확대,워킹맘,직장맘지원센터,2곳,내년,4곳,여성가족정책실장,엄규숙,서울시,여성,가족,정책,실장,성평등,도시,여성,안전,도시,여성,안전,도시,안전,도시,명제,확산,성평등,공감,문화,노력","성평등,서울시,여성혐오,피해자,안심특별시,여성안심특별시,데이트폭력,자치구,위원회,모니터링단,지자체,특별시,서울,만큼,대학교,신입생,강남역,3만,안심망,2곳,4곳","서울시가 여성혐오·데이트폭력·디지털성범죄가 없는 ‘여성안심특별시’로 거듭난다. 지자체 최초로 데이트폭력 피해자를 위한 법률·의료 연계 지원 사업을 추진하고, .. 앞으로는 혐오문화와 데이트폭력, 디지털성범죄를 차단해 생활 속 여성안전을 강화한다는 계획이다.또 데이트폭력과 디지털성범죄 추방을 위해 지자체 최초로 피해자에 대한 무료 법률·의료지원을 시범 실시한다.",http://www.segye.com/content/html/2017/03/07/20170307004576.html,,,,,,,,
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=01101001.20170307144847001,2017-03-07,한겨레,원낙연,"서울시, 혐오문화·데이트폭력·디지털성범죄 추방 나선다",사회>사회일반,,,범죄>범죄일반>살인,,,엄규숙,"서울, 강남역, 한국","유네스코, 서울시","서울시,혐오문화,데이트폭력,디지털성,범죄,추방,서울시,데이트폭력,디지털성,범죄,추방,적극,데이트폭력,디지털성,범죄,피해,구제,전문기관,시범,운영,피해자,상담,법률,의료,지원,연계,세계,여성,3.8,서울시,뼈대,대책,여성,안심,특별시,3.0,7일,2013년,여성안심택배,안심귀가스카우트,중심,여성안심대책,마련,혐오문화,데이트폭력,디지털성,범죄,추방,생활,생활,여성,안전,강화,집중,의미,5월,강남역,인근,화장실,살인,사건,한국,사회,혐오문화,화두,상황,반영,서울시,민간전문단체,선정,데이트폭력,디지털성,범죄,피해,구제,전문기관,시범,운영,시범사업,효과,내년,전문,지원,기관,설치,검토,데이트폭력,발생현황,연령,빈도,피해유형,실태조사,중장기,예방,지원대책,마련,계획,데이트폭력,디지털성,범죄,대응,매뉴얼,피해자용,경찰,지원자용,제작,상담,활용,서울시,생활,가치,평등,확산,사회통합,추구,대책,마련,성평등,의식,자연,자리,어린이집,어린이,중학생,3만,대상,맞춤형,감수성,향상,교육,유네스코,국제,기준,교육교재,서울,성평등,교육,교재,현장활동가,성평등,교육,현장,활동가,40여명,90명,어른들,성차별,의식,답습,교사,학부모,7천,교육,일터,확산,성평등,문화,서울시,전반,서울시,행정,의식,평등,반영,본부,젠더,지정,산하,위원회,비율,여성,위원,연내,40%,여성가족정책실장,엄규숙,서울시,여성,가족,정책,실장,성평등,도시,여성,안전,도시,여성,안전,도시,안전,도시,성평등,공감,문화,확산,안전,도시,정책","성평등,서울시,데이트폭력,피해자,전문기관,혐오문화,화장실,3만,강남역,맞춤형,엄규숙,교육교재,중학생,어린이집,40여명,중장기,가스카우트,안심귀,실태조사","서울시가 데이트폭력과 디지털성범죄 추방에 적극 나선다. 이를 위해 올해 데이트폭력, 디지털성범죄 피해구제 전문기관을 시범 운영한다...디지털성범죄 .. 서울시는 올해 민간전문단체를 선정해 데이트폭력과 디지털성범죄 피해구제 전문기관을 시범 운영한다. 데이트폭력과 디지털성범죄 대응 매뉴얼을 피해자용과 경찰 등 지원자용으로 각각 제작해 배포하고 상담할 때도 활용한다. ",http://www.hani.co.kr/arti/society/area/785440.html,,,,,,,,
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=02100201.20170307144226005,2017-03-07,머니투데이,,'혐오문화·데이트폭력·디지털성범죄' 추방…서울시 생활속 성평등 확산,사회>여성,,,범죄>범죄일반>살인,,,엄규숙,"서울, 서울시, 강남역","유네스코, 서울시, 커피전문점","혐오문화,데이트폭력,디지털성,범죄,추방,서울시,확산,생활속,성평등,서울시,혐오문화,데이트폭력,디지털성범죄,차단,생활,생활,여성,안전,강화,방향,여성안전정책,추진,서울시,그동안,여성,안심택배,안심귀가스카우트,여성안심,선도적,조성,주목,서울시,세계,여성,3월,대책,여성,안심,특별시,3.0,성평등,가치,일상생활,교육,현장,일터,조직,문화,여성안심도시,실현,7일,대책,여성,안심,특별시,3.0,3대,분야,사업,추진,3대,분야,확산,사회,전반,성평등,가치,평등서울,데이트폭력,디지털성범죄,여성,혐오,범죄,예방,지원,피해자,구제,존중서울,확대,여성,안심,인프라,강화,안전서울,구성,여성살인사건,5월,강남역,인근,화장실,여성,살인,사건,여성혐오,공론화,사회통합,차원,평등,Gender,Equality,가치,생활,확산,해소,계획,추진,여성안심대책,내실,고도화,여성,안전,강화,총력,계획,학교,평등,세상,슬로건,인성,형성,어린이집,아동,중학생,3만,대상,성인지,감수성,향상,조기,눈높이,교육,시작,어린이집,현장방문교육,초등학교,체험,교육,중학교,자유학기제,연계,토론식,인권,교육,연내,유네스코,국제기준,서울,성평등,교육,교재,성평등,교육,현장,활동가,추가,90명,확대,양성,어른들,성차별,의식,성별,고정관념,아이,답습,가능성,만큼,교사,학부모,7000명,강화,교육,진행,직장,성평등,조직문화,서울시,선도적,일반,기업,확산,유도,부서,젠더담당자,지정,운영,시정,전반,감수성,산하,위원회,비율,여성,위원,연내,40%,홍보물,심의,위원회,젠더전문가,선임,직장맘지원센터,2개,2018년,2개소,권역별,추가,확충,일상,성평등,의식,자연,확산,성평등,이미지,이모티콘,제작,카카오톡,무료,앞치마,집안일,남자,스포츠카,장난감,여자아이,정형화,성역할,고정관념,이미지,예정,데이트폭력,디지털성,범죄,근절,집중,지자체,민간단체,연계,피해,구제,사각지대,피해자,무료,법률,의료지원,시범,오리엔테이션,대학교,신입생,예방교육,학생회,연계,프랜차이즈,커피전문점,협약,데이트폭력,디지털성,범죄,추방,캠페인,추진,역량,집중,계획,여성들,재난,재해,대응력,강화,여성안심인프라,확대,내실,스마트기술,CCTV,자치구,통합,관제,센터,안심망,연결,안심이,스마트,여성,안심망,App,자치구,4월,4개,가동,자치구,연내,2018년,25개,자치구,확대,데이트폭력,디지털성,범죄,피해,구제,전문기관,민간,전문,단체,선정,시범사업,시작,효과분석,전문,지원,기관,설치,검토,여성가족정책실장,엄규숙,서울시,여성,가족,정책,실장,서울시,개인,영역,여성,안전,제도화,안심영역,확장,긍정적,평가,성평등,공감,문화,확산,안전,도시,정책,총력,김경환,kennyb,김경환","성평등,서울시,자치구,데이트폭력,서울,감수성,안심망,피해자,여성안심,어린이집,고정관념,위원회,전문기관,3만,토론식","서울시가 혐오문화와 데이트폭력?디지털성범죄 등을 차단해 생활 속 여성 안전을 강화하는 방향으로 여성안전정책을 추진해 나간다.△데이트폭력?디지털성범죄 등 여성혐오범죄 예방 및 피해자 구제 지원(존중서울) ..디지털성범죄 근절에 집중한다...디지털..데이트폭력, 디지털성범죄 피해구제 전문기관은 올해 민간 전문단체를 선정해 시범사업을 시작하고, 효과분석을 통해 2018년 ",,,,,,,,,
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=01101101.20170307050814001,2017-03-07,한국일보,,서울시 “데이트 폭력^디지털 성범죄 추방”,사회>여성,,,범죄>범죄일반>살인,,,엄규숙,"성동, 은평, 서울, 강남역, 동작구",서울시,"폭력,서울시,데이트,디지털,성범죄,추방,강남역,여성혐오,계기,제작,성평등,교재,서울시,연인,사이,데이트폭력,인터넷,휴대폰,발생,디지털성,범죄,추방,세계여성,하루,7일,3.0,여성,안전,대책,여성,안심,특별시,3.0,대책,5월,사건,강남역,살인,여성혐오,공론화,여성,안심귀가스카우트,강화,여성,안전,생활,가치,평등,확산,데이트폭력,디지털성범죄,여성,인격,침해,범죄,골자,평등,세상,구호,어린이집,중학생,3만,대상,성인지,감수성,교육,조기,눈높이,성인,성차별,의식,성별,고정관념,아이,답습,가능성,만큼,교사,학부모,강화,교육,진행,계획,교재,연내,서울,성평등,교육,성평등,교육,현장활동가,90명,확대,일상,성평등,의식,자연,확산,앞치마,집안일,남자,스포츠카,장난감,여자아이,성별,고정관념,이모티콘,제작,카카오톡,무료,데이트폭력,디지털성,범죄,피해자,지원,지자체,민간단체,상담,법률,의료,지원,예정,내년,설치,피해자,구제,전문,지원,기관,검토,4월,은평,서대문ㆍ성동,동작구,4개,자치구,안심이,운영,휴대폰,실행,자치구,통합,관제,센터,상황판,실시간,위치,표시,위급,상황,판단,경찰,현장,출동,조치,신속,자치구,확대,예정,전반,행정,성평등,의식,반영,부서,젠더책임관,지정,운영,산하,위원회,여성,위원,비율,40%,계획,엄규숙,여성가족정책실장,엄규숙,여성,가족,정책,실장,개인,영역,문제들,여성,안전,제도화,긍정적,평가,성평등,공감,문화,확산,안전,도시,정책,총력","성평등,자치구,강남역,피해자,상황판,휴대폰,데이트폭력,여성혐오,서울시,엄규숙,감수성,3만,학부모,고정관념,눈높이,디지털성,성범죄,민간단체,어린이집,중학생","강.. 서울시가 연인 사이에서 벌어지는 데이트폭력과 인터넷, 휴대폰을 통해 발생하는 디지털성범죄 추방에 나선다. 그 동안 여성안심택배, 안심귀가스카우트 등 여성 안전 강화에 힘썼던 데서 이제는 생활 속에서 성 평등 가치를 확산시켜 데이트폭력, 디지털성범죄 등 여성 인격을 침해하는 범죄를 몰아내겠다는 게 골자다.데이트폭력과 디지털성범죄 피해자 지원에도 나선다.",http://hankookilbo.com/v/5314bbf7c2ee4cfaaa78a2c7ad4482a2,,,,,,,,
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=02100701.20170307112018003,2017-03-07,헤럴드경제,이원율 기자,"여성안심특별시, “데이트 폭력, 서울시와 상담해요”",사회>사회일반,,,,,,엄규숙,서울,"유네스코, 서울시, 서울시여성가족재단","여성안심특별시,데이트,폭력,서울시,상담,서울시,여성,안심,특별시,3.0,학교,일터,일상,인식,변화,초점,헤럴드경제,이원율,서울시,지방자치단체,데이트,폭력,디지털,설치,성범죄,피해,구제,전문,기관,성평등,이미지,이모티콘,카카오톡,무료,사업,서울시,8일,여성,브리핑룸,7일,시청,브리핑,대책,여성,안심,특별시,3.0,사업,설명회,성평등,가치,일상생활,일터,조직,문화,서울시,지방자치단체,데이트폭력,디지털성,범죄,추방,피해구제전문기관,설립,제공,123rf,데이트,폭력,디지털,시범사업,성범죄,피해,구제,전문기관,운영,돌입,민간,전문,단체,손납,피해자,무료,법률,상담,의료,지원,서비스,제공,시범,운영,내년,전문,지원,기관,설치,검토,실태조사,데이트,폭력,토대,중장기,예방ㆍ,지원,대책,매뉴얼,시민,전문가,성평등,의식,자연,확산,이미지,이모티콘,앞치마,집안일,남자,스포츠카,장난감,여자,성역할,고정관념,이미지,카카오톡,무료,방침,지역,어린이집,중학생,3만,대상,성장,단계별,성인지,감수성,향상,교육,시작,어린이집,현장방문교육,초등학교,체험,교육,중학교,자유학기제,연계,토론식,인권,교육,진행,유네스코,국제기준,서울,성평등,교육,교재,교육,50명,현장,활동가,추가,양성,변화,일터,분위기,부서,젠더,지정,산하,위원회,여성,위원,비율,연내,40%,홍보물,심의,위원회,젠더전문가,선임,직장맘,지원센터,2개소,내년,2개소,추가,확충,직원,1만,대상,연중,감수성,교육,추진,공공홍보물,성차별적,신고,서울시홍,보물,모니터링단,운영,일상생활,성평등,경연대회,성평등,사용자,제작,컨텐츠,UCC,공모전,오프라인,캠페인,연중,의식,확산,계획,여성,안심,특별시,3.0,제공,서울시,여성,안심,인프라,지속,확대,위험상황,신고,실행,SOS,호출,가능,안심,자치구,4월,4개,적용,내년,자치구,내년,확대,재난,대응력,여성,안전,체험,교실,교육,프로그램,강화,이외,여성안심택배,각종,여성,안심,사업,여성가족정책실장,엄규숙,서울시,여성,가족,정책,실장,성평등,도시,여성,안전,도시,여성,안전,도시,안전,도시,기본,명제,사업,시작,총력,서울시여성가족재단,성평등도서관,8일,서울여성플라자,평등,도서관,여성,도시,주제,행사,토론,정책,특강,전시회,예정","성평등,서울시,성범죄,여성안심특별시,감수성,홍보물,위원회,어린이집,모니터링단,전문가,2개소,자치구,피해구제전문기관,일상생활,토론식,중장기,성역할,3만,단계별,지방자치단체,서울여성플라자,활동가,4개,전문기관","-서울시, ‘여성안심특별시 3.0’ 발표 -“학교ㆍ일터ㆍ일상 인식 변화에 초점”  [헤럴드경제=이원율 기자] 서울시가 지방자치단체 처음으로 데이트 폭력ㆍ디지털 성범죄 피해구제전문기관 설치에 나선다. 성평등 이미지를 모은 이모티콘을 만들어 카카오톡 등에 무료 배.. 서울시가 지방자치단체 최초로 데이트폭력?디지털성범죄 추방을 위해 피해구제전문기관을 설립한다.",http://biz.heraldcorp.com/view.php?ud=20170307000525,,,,,,,,
